"authors.keyword: Descending",Count
"Wen Chen",1601
"Y. Lee",1601
"Yi Luo",1601
"Yue Zhao",1601
"Dong Zhang",1599
"J. Schneider",1599
"S. Mukherjee",1599
"DAVID HANSON",1596
"Klaus Müllen",1596
"A. Fischer",1595
"R. Miller",1594
"Ming Xu",1591
"Yong He",1591
"G. Singh",1590
"J. Fischer",1589
"Y Wang",1589
"H. Matsumoto",1588
"Yang Zhou",1587
"Jie Zhao",1585
"David Swinbanks",1584
"J. Hu",1582
"Manoj Kumar",1581
"H. Vogel",1580
"Hiroshi Yoshida",1580
"Ying Zhao",1580
"A. Patel",1578
"David Dickson",1578
"Rong Li",1577
"L. Thomas",1575
"W. Schmidt",1575
"Hiroshi Sato",1574
"M. Ikeda",1574
"D. Thomas",1573
"J. Miller",1570
"Y. Xie",1570
"Arun Kumar",1569
"D. Chen",1569
"Kenji Suzuki",1569
"Mei Li",1569
"Xin Yang",1569
"Ke Li",1568
"M. Saito",1567
"C. Smith",1565
"Ting Li",1565
"Nan Wang",1563
"K. Kimura",1562
"Tim Beardsley",1561
"Fang Chen",1560
"Hiroshi Takahashi",1560
"Di Zhang",1558
"M. Sasaki",1558
"K. Cruse",1557
"R. Sharma",1556
"Akihisa Inoue",1555
"Xiang Liu",1555
"Feng Wu",1554
"Hiroshi Kimura",1553
"Qin Zhang",1553
"Y. Sasaki",1553
"Yi Zhao",1553
"Ke Zhang",1552
"M. Meyer",1552
"Y. Hayashi",1551
"Yuan Yuan",1550
"H. Yamaguchi",1547
"A. Khan",1545
"T. Goto",1545
"A. Suzuki",1544
"K. Sasaki",1544
"Xiao Chen",1544
"Gang Zhao",1543
"Science Service",1543
"R. Srinivasan",1542
"D. Xu",1540
"F. Li",1539
"K. Hara",1539
"W. Wagner",1539
"T. Abe",1538
"T. Takeuchi",1537
"M. Wolf",1533
"Min Shi",1532
"P. Martin",1531
"Yue Liu",1529
"E. M�ller",1524
"Teruaki Mukaiyama",1524
"Jun Luo",1522
"Yan Yan",1520
"P. Zhang",1519
"Y. Yoshida",1517
"Zhong Chen",1517
"Hong Zhao",1516
"K. Müller",1516
"J. H. Kim",1512
"Gang Xu",1510
"J Wang",1509
"Seiji Shinkai",1509
"S. Ito",1508
"Bo Yu",1507
"A. Inoue",1506
"Wei Song",1506
"H. Jiang",1503
"L. Zhao",1503
"S. Saito",1502
"Sunil Kumar",1502
"S. J. Pearton",1499
"Xiao Liu",1499
"H. Wagner",1498
